year,Visa_debit,Mastercard_debit,Mastercard_credit,Visa_credit,American Express_credit
2019,756.5,26.6,125.7,55.5,5.1
2020,724.7,28.1,104.9,40,5.1
2021,752.7,68.1,121.2,43.3,5
2022,685.2,198.1,155.1,48.8,6.3
2023,642.5,290.6,178.6,52,7.3
